ID, COORDINATES_ID, GEO_OBJECT_TYPE_ID, I18NAME_ID, PARENT_ID
"12843","12843","100","112947","12765"
"12844","12844","100","112948","12765"
"12845","12845","100","112949","12765"
"12846","12846","100","112950","12765"
"12847","12847","100","112951","12765"
"12848","12848","100","112952","12765"
"12849","12849","100","112953","12765"
"12850","12850","100","112954","12765"
"12851","12851","100","112955","12765"
"12852","12852","100","112956","12765"
"12853","12853","100","112957","12765"
"12854","12854","100","112958","12765"
"12855","12855","100","112959","12765"
"12856","12856","100","112960","12765"
"12857","12857","100","112961","12765"
"12858","12858","100","112962","12765"
"12859","12859","100","112963","12765"
"12860","12860","100","112964","12765"
"12861","12861","100","112965","12765"
"12862","12862","100","112966","12765"
"12863","12863","100","112967","12765"
"12864","12865","101","112969",null
"12865","12864","100","112968","12864"
"12866","12866","100","112970","12864"
"12867","12867","100","112971","12864"
"12868","12868","100","112972","12864"
"12869","12869","100","112973","12864"
"12870","12870","100","112974","12864"
"12871","12871","100","112975","12864"
"12872","12872","100","112976","12864"
"12873","12873","100","112977","12864"
"12874","12874","100","112978","12864"
"12875","12875","100","112979","12864"
"12876","12876","100","112980","12864"
"12877","12877","100","112981","12864"
"12878","12878","100","112982","12864"
"12879","12879","100","112983","12864"
"12880","12880","100","112984","12864"
"12881","12881","100","112985","12864"
"12882","12882","100","112986","12864"
"12883","12883","100","112987","12864"
"12884","12885","101","112989",null
"12885","12884","100","112988","12884"
"12886","12886","100","112990","12884"
"12887","12887","100","112991","12884"
"12888","12889","101","112993",null
"12889","12888","100","112992","12888"
"12890","12890","100","112994","12888"
"12891","12891","100","112995","12888"
"12892","12892","100","112996","12888"
"12893","12893","100","112997","12888"
"12894","12894","100","112998","12888"
"12895","12895","100","112999","12888"
"12896","12896","100","113000","12888"
"12897","12897","100","113001","12888"
"12898","12898","100","113002","12888"
"12899","12899","100","113003","12888"
"12900","12900","100","113004","12888"
"12901","12901","100","113005","12888"
"12902","12902","100","113006","12888"
"12903","12903","100","113007","12888"
"12904","12904","100","113008","12888"
"12905","12905","100","113009","12888"
"12906","12906","100","113010","12888"
"12907","12907","100","113011","12888"
"12908","12908","100","113012","12888"
"12909","12909","100","113013","12888"
